method,time,memory,ram
load_dataset,1.7884767055511475,83517440,0
done,0.0010483264923095703,0,0
split,8.245237827301025,300380160,0
groupby,0.06445980072021484,0,0
done,0.0006823539733886719,0,0
cast_columns_types,0.0007703304290771484,0,0
round,0.00535893440246582,0,0
cast_columns_types,0.001352548599243164,0,0
change_date_time_format,7.575627088546753,29696000,0
replace,0.260009765625,0,0
done,0.0007433891296386719,0,0
get_columns,0.0008981227874755859,0,0
locate_null_values,0.0018353462219238281,0,0
is_unique,0.002226114273071289,0,0
is_unique,0.0009636878967285156,0,0
done,0.0007565021514892578,0,0
done,0.0006272792816162109,0,0
