method,time,memory,ram
load_dataset,4.473847389221191,181862400,0
split,16.391064167022705,59850752,0
groupby,2.335810899734497,27475968,0
cast_columns_types,0.23458194732666016,0,0
round,1.7976047992706299,89837568,0
cast_columns_types,1.5980899333953857,16969728,0
change_date_time_format,1.1555185317993164,18690048,0
replace,10.749892711639404,373866496,0
get_columns,0.008245229721069336,0,0
locate_null_values,3.5892908573150635,203354112,0
is_unique,15.302778720855713,0,0
is_unique,1.586937427520752,6615040,0
