method,time,memory,ram
load_dataset,10.869773626327515,250867712,0
split,19.398308277130127,23437312,0
groupby,1.4709317684173584,61673472,0
cast_columns_types,0.04613351821899414,0,0
round,4.545820713043213,0,0
cast_columns_types,2.3530898094177246,27168768,0
change_date_time_format,0.17188382148742676,21417984,0
replace,31.6951961517334,229089280,0
get_columns,0.005869150161743164,0,0
locate_null_values,2.7336812019348145,260595712,0
is_unique,1.9088950157165527,0,0
is_unique,3.56850004196167,12087296,0
sort,11.016778707504272,270716928,0
