method,time,memory,ram
load_dataset,2.7622697353363037,290426880,0
split,6.190325736999512,12443648,0
groupby,0.1623399257659912,0,0
cast_columns_types,0.05531573295593262,8544256,0
round,0.010976314544677734,8388608,0
cast_columns_types,0.019349336624145508,0,0
change_date_time_format,2.539848566055298,13262848,0
replace,0.156174898147583,11485184,0
get_columns,0.0009779930114746094,0,0
locate_null_values,0.7057952880859375,69771264,0
is_unique,0.011910200119018555,0,0
is_unique,0.05526018142700195,0,0
sort,0.15215659141540527,0,0
