method,time,memory,ram
load_dataset,0.5469663143157959,405192704,0
done,0.0010161399841308594,0,0
split,0.27034664154052734,2465792,0
groupby,0.30362892150878906,0,0
done,0.7768018245697021,11476992,0
cast_columns_types,0.22977995872497559,2260992,0
round,0.21754670143127441,0,0
cast_columns_types,0.1978156566619873,0,0
change_date_time_format,0.2937302589416504,0,0
replace,13.864043951034546,433451008,0
done,18.1845920085907,0,0
locate_null_values,8.295101165771484,0,0
is_unique,8.440342664718628,9306112,0
is_unique,8.562204599380493,0,0
sort,8.312193870544434,25735168,0
done,17.273988723754883,6737920,0
done,16.315158128738403,8634368,0
