method,time,memory,ram
load_dataset,12.017086029052734,598532096,0
done,0.8213586807250977,23277568,0
split,2.7337965965270996,252792832,0
groupby,1.4935760498046875,58839040,0
done,0.9484555721282959,10715136,0
cast_columns_types,1.0543420314788818,11259904,0
round,1.0197272300720215,0,0
cast_columns_types,1.1039674282073975,80924672,0
change_date_time_format,4.222185373306274,184446976,0
replace,1.1676373481750488,24371200,0
done,0.9642655849456787,7131136,0
get_columns,0.8635201454162598,0,0
locate_null_values,2.132650375366211,5410816,0
is_unique,1.733774185180664,21692416,0
is_unique,1.250340461730957,3297280,0
sort,1.0134897232055664,1167360,0
done,0.8236143589019775,7053312,0
done,0.7430880069732666,3174400,0
