method,time,memory,ram
load_dataset,21.1669442653656,834174976,0
done,2.248173713684082,34406400,0
split,0.9767670631408691,69251072,0
groupby,1.294973611831665,247001088,0
done,1.7678008079528809,6721536,0
cast_columns_types,1.2561619281768799,22663168,0
round,0.7828223705291748,2281472,0
cast_columns_types,0.8293828964233398,2879488,0
change_date_time_format,0.7208304405212402,978944,0
replace,0.7426455020904541,1867776,0
done,1.4059555530548096,229990400,0
get_columns,0.7074358463287354,1892352,0
locate_null_values,1.407020092010498,8982528,0
is_unique,8.302239179611206,242204672,0
is_unique,5.264059782028198,164364288,0
sort,0.778221845626831,569344,0
done,1.4443118572235107,0,0
done,1.3888237476348877,0,0
