method,time,memory,ram
load_dataset,0.46361446380615234,286949376,0
done,0.0007824897766113281,0,0
split,13.276925325393677,174198784,0
groupby,2.3786678314208984,6234112,0
done,0.0012264251708984375,0,0
cast_columns_types,0.01180887222290039,0,0
round,0.007253408432006836,0,0
cast_columns_types,0.03325986862182617,0,0
change_date_time_format,3.429408073425293,236154880,0
replace,0.012294292449951172,0,0
done,0.0011966228485107422,0,0
get_columns,0.002613067626953125,0,0
locate_null_values,0.03699660301208496,57344,0
is_unique,0.2365255355834961,6795264,0
is_unique,0.31654834747314453,21585920,0
sort,0.1340181827545166,6041600,0
done,0.0015339851379394531,0,0
done,0.007831335067749023,0,0
