2024-01-26 13:44:29 - ERROR - dataset: crypto-market, algorithm: pandas, method: round - PandasBench.round() got an unexpected keyword argument 'column'
2024-01-26 13:45:04 - ERROR - dataset: crypto-market, algorithm: pandas, method: round - PandasBench.round() got an unexpected keyword argument 'f'
2024-01-26 13:46:50 - ERROR - dataset: crypto-market, algorithm: pandas, method: round - 'str' object cannot be interpreted as an integer
2024-02-11 09:32:10 - ERROR - dataset: crypto-market, algorithm: pandas, method: groupby - groupby() missing 1 required positional argument: 'f'
2024-02-11 09:32:21 - ERROR - dataset: crypto-market, algorithm: pandas, method: groupby - groupby() missing 1 required positional argument: 'f'
2024-02-11 09:32:23 - ERROR - dataset: crypto-market, algorithm: datatable, method: groupby - groupby() missing 1 required positional argument: 'f'
2024-02-11 09:32:24 - ERROR - dataset: crypto-market, algorithm: datatable, method: groupby - groupby() missing 1 required positional argument: 'f'
2024-02-11 09:32:28 - ERROR - dataset: crypto-market, algorithm: polars, method: groupby - groupby() missing 1 required positional argument: 'f'
2024-02-11 09:32:30 - ERROR - dataset: crypto-market, algorithm: polars, method: groupby - groupby() missing 1 required positional argument: 'f'
2024-02-11 09:32:59 - ERROR - dataset: crypto-market, algorithm: modin_ray, method: groupby - groupby() missing 1 required positional argument: 'f'
2024-02-11 09:33:25 - ERROR - dataset: crypto-market, algorithm: modin_ray, method: groupby - groupby() missing 1 required positional argument: 'f'
2024-02-11 09:33:48 - ERROR - dataset: crypto-market, algorithm: modin_dask, method: groupby - groupby() missing 1 required positional argument: 'f'
2024-02-11 09:34:07 - ERROR - dataset: crypto-market, algorithm: modin_dask, method: groupby - groupby() missing 1 required positional argument: 'f'
2024-02-11 09:34:37 - ERROR - dataset: crypto-market, algorithm: vaex, method: groupby - groupby() missing 1 required positional argument: 'f'
2024-02-11 09:34:53 - ERROR - dataset: crypto-market, algorithm: vaex, method: groupby - groupby() missing 1 required positional argument: 'f'
2024-02-11 11:43:24 - ERROR - dataset: crypto-market, algorithm: pandas, method: groupby - groupby() missing 1 required positional argument: 'f'
2024-02-11 11:43:36 - ERROR - dataset: crypto-market, algorithm: pandas, method: groupby - groupby() missing 1 required positional argument: 'f'
2024-02-11 11:43:39 - ERROR - dataset: crypto-market, algorithm: datatable, method: groupby - groupby() missing 1 required positional argument: 'f'
2024-02-11 11:43:43 - ERROR - dataset: crypto-market, algorithm: datatable, method: groupby - groupby() missing 1 required positional argument: 'f'
2024-02-11 11:43:47 - ERROR - dataset: crypto-market, algorithm: polars, method: groupby - groupby() missing 1 required positional argument: 'f'
2024-02-11 11:43:52 - ERROR - dataset: crypto-market, algorithm: polars, method: groupby - groupby() missing 1 required positional argument: 'f'
2024-02-11 11:44:30 - ERROR - dataset: crypto-market, algorithm: modin_ray, method: groupby - groupby() missing 1 required positional argument: 'f'
2024-02-11 11:45:02 - ERROR - dataset: crypto-market, algorithm: modin_dask, method: groupby - groupby() missing 1 required positional argument: 'f'
2024-02-11 11:45:43 - ERROR - dataset: crypto-market, algorithm: modin_dask, method: groupby - groupby() missing 1 required positional argument: 'f'
2024-02-11 11:47:26 - ERROR - dataset: crypto-market, algorithm: pyspark_pandas, method: split - 
2024-02-11 11:49:03 - ERROR - dataset: crypto-market, algorithm: pyspark_pandas, method: split - 
2024-02-11 11:55:44 - ERROR - dataset: crypto-market, algorithm: modin_dask, method: groupby - groupby() missing 1 required positional argument: 'f'
2024-02-11 11:56:15 - ERROR - dataset: crypto-market, algorithm: modin_dask, method: groupby - groupby() missing 1 required positional argument: 'f'
2024-02-11 11:58:34 - ERROR - dataset: crypto-market, algorithm: modin_dask, method: groupby - groupby() missing 1 required positional argument: 'f'
2024-02-11 11:59:14 - ERROR - dataset: crypto-market, algorithm: modin_dask, method: groupby - groupby() missing 1 required positional argument: 'f'
2024-02-11 12:12:05 - ERROR - dataset: crypto-market, algorithm: pandas, method: groupby - 'lambda x: x' is not a valid function for 'DataFrameGroupBy' object
2024-02-11 12:12:20 - ERROR - dataset: crypto-market, algorithm: pandas, method: groupby - 'lambda x: x' is not a valid function for 'DataFrameGroupBy' object
2024-02-11 12:18:32 - ERROR - dataset: crypto-market, algorithm: pandas, method: groupby - 'null' is not a valid function for 'DataFrameGroupBy' object
2024-02-11 12:18:47 - ERROR - dataset: crypto-market, algorithm: pandas, method: groupby - 'null' is not a valid function for 'DataFrameGroupBy' object
2024-02-11 12:19:16 - ERROR - dataset: crypto-market, algorithm: pandas, method: groupby - '' is not a valid function for 'DataFrameGroupBy' object
2024-02-11 12:19:30 - ERROR - dataset: crypto-market, algorithm: pandas, method: groupby - '' is not a valid function for 'DataFrameGroupBy' object
2024-02-11 12:21:21 - ERROR - dataset: crypto-market, algorithm: pandas, method: groupby - 'none' is not a valid function for 'DataFrameGroupBy' object
